Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Type_H,Type_L,Type_M
-0.9514166340990018,-0.9463563916392547,0.06748369027204414,0.28305441927740016,-1.6956470811542024,0,False,False,True
-0.9014278130978732,-0.8789535728809331,-0.7296036500753337,0.634237725967454,-1.6485113323589788,0,False,True,False
-0.9514166340990018,-1.0137592103976147,-0.22794028901754346,0.945285797607216,-1.6170874998288298,0,False,True,False
-0.9014278130978732,-0.9463563916392547,-0.5902527164481698,-0.04806126988750732,-1.585663667298681,0,False,True,False
-0.9014278130978732,-0.8789535728809331,-0.7296036500753337,0.002107773925357498,-1.554239834768532,0,False,True,False
-0.9514166340990018,-0.9463563916392547,-0.6348450152088623,0.19275014041424365,-1.522816002238383,0,False,False,True
-0.9514166340990018,-0.9463563916392547,0.10650195168765005,0.24291918422710848,-1.4756802534431597,0,False,True,False
-0.9514166340990018,-0.9463563916392547,-0.06629320601003326,0.02217539145050371,-1.4442564209130107,0,False,True,False
-0.8514389920967161,-0.8789535728809331,0.7140720223020848,-1.14174642500796,-1.4128325883828619,0,False,False,True
-0.7514613500944305,-0.6767451166058918,1.1265507858384902,-1.201949277583398,-1.3656968395876383,0,False,False,True
-0.8014501710955876,-0.7441479353642516,1.355086316987039,-1.6133354368488897,-1.318561090792415,0,True,False,False
-0.7014725290932735,-0.6093422978475319,-0.6459930898990354,0.4335615507159946,-1.2400015094670427,0,True,False,False
-0.7014725290932735,-0.6093422978475319,-1.1142122268863062,1.1158605465709566,-1.1614419281416704,0,False,False,True
-0.7014725290932735,-0.5419394790892103,1.1321248231835768,-1.0012731023319388,-1.1143061793464468,0,False,False,True
-0.7014725290932735,-0.5419394790892103,2.7653177652939385,-2.0447892136395267,-1.0671704305512235,0,False,True,False
-0.7014725290932735,-0.5419394790892103,0.01731735416626511,0.8449477099814863,-1.0357465980210745,0,False,True,False
-0.7014725290932735,-0.5419394790892103,-1.27028527254873,0.6643391522551733,-1.0043227654909255,0,False,False,True
-0.651483708092145,-0.5419394790892103,-0.7184555753851606,0.5640010646294437,-0.957187016695702,0,False,False,True
-0.6014948870909879,-0.5419394790892103,-1.2981554592741626,1.4570100444984373,-0.9100512679004786,0,True,False,False
-0.5515060660898593,-0.4745366603308504,0.5189807152240553,-0.7504278832676147,-0.8314916865751062,0,False,False,True
-0.5515060660898593,-0.4745366603308504,-0.91354688246319,0.2730206105148278,-0.7843559377798828,0,True,False,False
-0.6014948870909879,-0.4745366603308504,-0.4954940815816982,0.4837305945288594,-0.7057963564545104,0,False,True,False
-0.5515060660898593,-0.4745366603308504,0.23470481062464085,-0.9310364409939281,-0.6743725239243615,0,False,False,True
-0.5015172450887023,-0.40713384157252885,1.2213094207049617,-1.4327268791225762,-0.6272367751291381,0,False,True,False
-0.5015172450887023,-0.40713384157252885,0.12322406372290971,-0.2688050626641128,-0.5958129425989892,0,False,False,True
-0.5015172450887023,-0.33973102281416895,1.7954352672488771,-1.6735382894243271,-0.5486771938037658,0,False,True,False
-0.45152842408754523,-0.33973102281416895,-0.14990376618633164,-0.09823031370037213,-0.5172533612736168,0,False,True,False
-0.45152842408754523,-0.40713384157252885,1.5167333999945491,-1.5430987755108787,-0.48582952874346785,0,True,False,False
-0.45152842408754523,-0.40713384157252885,-0.5568084923776504,0.42352774195342224,-0.4072699474180955,0,False,True,False
-0.5015172450887023,-0.40713384157252885,0.8589969932743353,-0.9912392935693657,-0.37584611488794656,0,False,True,False
-0.45152842408754523,-0.33973102281416895,-1.1142122268863062,0.8248800924563409,-0.34442228235779765,0,False,False,True
-0.5015172450887023,-0.40713384157252885,1.444270914508424,-1.4527944966477222,-0.29728653356257423,0,False,True,False
-0.5015172450887023,-0.40713384157252885,-0.6682892392793816,0.8349139012189132,-0.26586270103242526,0,False,True,False
